R18,-20.12,13.47,108.60,3K3,CPF0201D7K68C1_0201
R1_EP_DR,-5.11,0.13,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,-0.24,1.73,270.00,5K1,CPF0201D7K68C1_0201
R2,-10.67,10.87,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-8.71,-0.81,180.00,10k,CPF0201D7K68C1_0201
R2_USB,-1.18,1.95,0.00,5K1,CPF0201D7K68C1_0201
R3,5.34,13.07,90.00,0,CPF0201D7K68C1_0201
R4,-11.57,9.11,0.00,0,CPF0201D7K68C1_0201
R5,2.75,-14.23,0.00,10k,CPF0201D7K68C1_0201
R7,-8.13,-13.53,90.00,10k,CPF0201D7K68C1_0201
R8,13.75,-14.23,0.00,10k,CPF0201D7K68C1_0201
R9,-11.41,15.40,270.00,10k,CPF0201D7K68C1_0201
R_PWR_EPD,-8.51,6.69,0.00,10k,CPF0201D7K68C1_0201
R_TYPE_SEL,-5.15,1.25,180.00,2.2,CPF0201D7K68C1_0201
SJ1,-7.14,3.53,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,-11.05,-14.15,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.04,-14.15,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,11.04,-14.15,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,9.60,14.93,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-4.38,-14.76,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-21.03,-8.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND1,-18.54,12.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND2,-6.69,-14.69,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-20.93,8.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-18.58,8.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,6.62,-14.66,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-12.75,11.45,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-20.77,11.41,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,17.62,-15.07,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,15.47,-15.43,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,4.26,-14.64,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-6.25,14.03,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,11.27,2.65,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-15.46,13.66,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,16.17,2.71,90.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,5.81,5.43,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
